Language,Name,Percentage
Papiamento,Aruba,76.7
Pashto,Afghanistan,52.4
Ovimbundu,Angola,37.2
English,Anguilla,0.0
Albaniana,Albania,97.9
Spanish,Andorra,44.6
Papiamento,"Netherlands Antilles",86.2
Arabic,"United Arab Emirates",42.0
Spanish,Argentina,96.8
Armenian,Armenia,93.4
Samoan,"American Samoa",90.6
"Creole English","Antigua and Barbuda",95.7
English,Australia,81.2
German,Austria,92.0
Azerbaijani,Azerbaijan,89.0
Kirundi,Burundi,98.1
Dutch,Belgium,59.2
Fon,Benin,39.8
Mossi,"Burkina Faso",50.2
Bengali,Bangladesh,97.7
Bulgariana,Bulgaria,83.2
Arabic,Bahrain,67.7
"Creole English",Bahamas,89.7
Serbo-Croatian,"Bosnia and Herzegovina",99.2
Belorussian,Belarus,65.6
English,Belize,50.8
English,Bermuda,100.0
Spanish,Bolivia,87.7
Portuguese,Brazil,97.5
Bajan,Barbados,95.1
Malay,Brunei,45.5
Dzongkha,Bhutan,50.0
Tswana,Botswana,75.5
Gbaya,"Central African Republic",23.8
English,Canada,60.4
English,"Cocos (Keeling) Islands",0.0
German,Switzerland,63.6
Spanish,Chile,89.7
Chinese,China,92.0
Akan,"Côte d’Ivoire",30.0
Fang,Cameroon,19.7
Luba,"Congo, The Democratic Republic of the",18.0
Kongo,Congo,51.5
English,"Cook Islands",0.0
Spanish,Colombia,99.0
Comorian,Comoros,75.0
Crioulo,"Cape Verde",100.0
Spanish,"Costa Rica",97.5
Spanish,Cuba,100.0
Chinese,"Christmas Island",0.0
English,"Cayman Islands",0.0
Greek,Cyprus,74.1
Czech,"Czech Republic",81.2
German,Germany,91.3
Somali,Djibouti,43.9
"Creole English",Dominica,100.0
Danish,Denmark,93.5
Spanish,"Dominican Republic",98.0
Arabic,Algeria,86.0
Spanish,Ecuador,93.0
Arabic,Egypt,98.8
Tigrinja,Eritrea,49.1
Arabic,"Western Sahara",100.0
Spanish,Spain,74.4
Estonian,Estonia,65.3
Oromo,Ethiopia,31.0
Finnish,Finland,92.7
Fijian,"Fiji Islands",50.8
English,"Falkland Islands",0.0
French,France,93.6
Faroese,"Faroe Islands",100.0
Trukese,"Micronesia, Federated States of",41.6
Fang,Gabon,35.8
English,"United Kingdom",97.3
Georgiana,Georgia,71.7
Akan,Ghana,52.4
English,Gibraltar,88.9
Ful,Guinea,38.6
"Creole French",Guadeloupe,95.0
Malinke,Gambia,34.1
Crioulo,Guinea-Bissau,36.4
Fang,"Equatorial Guinea",84.8
Greek,Greece,98.5
"Creole English",Grenada,100.0
Greenlandic,Greenland,87.5
Spanish,Guatemala,64.7
"Creole French","French Guiana",94.3
English,Guam,37.5
"Creole English",Guyana,96.4
"Canton Chinese","Hong Kong",88.7
Spanish,Honduras,97.2
Serbo-Croatian,Croatia,95.9
"Haiti Creole",Haiti,100.0
Hungarian,Hungary,98.5
Javanese,Indonesia,39.4
Hindi,India,39.9
English,Ireland,98.4
Persian,Iran,45.7
Arabic,Iraq,77.2
Icelandic,Iceland,95.7
Hebrew,Israel,63.1
Italian,Italy,94.1
"Creole English",Jamaica,94.2
Arabic,Jordan,97.9
Japanese,Japan,99.1
Kazakh,Kazakstan,46.0
Kikuyu,Kenya,20.9
Kirgiz,Kyrgyzstan,59.7
Khmer,Cambodia,88.6
Kiribati,Kiribati,98.9
"Creole English","Saint Kitts and Nevis",100.0
Korean,"South Korea",99.9
Arabic,Kuwait,78.1
Lao,Laos,67.2
Arabic,Lebanon,93.0
Kpelle,Liberia,19.5
Arabic,"Libyan Arab Jamahiriya",96.0
"Creole French","Saint Lucia",80.0
German,Liechtenstein,89.0
Singali,"Sri Lanka",60.3
Sotho,Lesotho,85.0
Lithuanian,Lithuania,81.6
Luxembourgish,Luxembourg,64.4
Latvian,Latvia,55.1
"Canton Chinese",Macao,85.6
Arabic,Morocco,65.0
French,Monaco,41.9
Romanian,Moldova,61.9
Malagasy,Madagascar,98.9
Dhivehi,Maldives,100.0
Spanish,Mexico,92.1
Marshallese,"Marshall Islands",96.8
Macedonian,Macedonia,66.5
Bambara,Mali,31.8
Maltese,Malta,95.8
Burmese,Myanmar,69.0
Mongolian,Mongolia,78.8
"Philippene Languages","Northern Mariana Islands",34.1
Makua,Mozambique,27.8
Hassaniya,Mauritania,81.7
English,Montserrat,0.0
"Creole French",Martinique,96.6
"Creole French",Mauritius,70.6
Chichewa,Malawi,58.3
Malay,Malaysia,58.4
Mahoré,Mayotte,41.9
Ovambo,Namibia,50.7
"Malenasian Languages","New Caledonia",45.4
Hausa,Niger,53.1
English,"Norfolk Island",0.0
Joruba,Nigeria,21.4
